[Fri Apr 17 01:42:16 2026] BLOCKED: 62.164.177.3
[Fri Apr 17 01:43:00 2026] BLOCKED: 74.125.68.138
[Fri Apr 17 01:43:04 2026] BLOCKED: 192.168.0.1
[Fri Apr 17 01:44:33 2026] BLOCKED: 188.214.152.18
[Fri Apr 17 01:45:16 2026] BLOCKED: 57.144.152.145
[Fri Apr 17 01:50:05 2026] BLOCKED: 142.251.10.97 | Reason: DDoS Attack
[Fri Apr 17 01:50:05 2026] BLOCKED: 142.251.10.97 | Reason: DDoS Attack
[Fri Apr 17 01:50:17 2026] BLOCKED: 149.104.81.45 | Reason: DDoS Attack
[Fri Apr 17 01:51:28 2026] BLOCKED: 71.18.81.248 | Reason: DDoS Attack
[Fri Apr 17 01:51:40 2026] BLOCKED: 142.251.10.113 | Reason: DDoS Attack
[Fri Apr 17 01:51:40 2026] BLOCKED: 43.109.2.23 | Reason: DDoS Attack
[Fri Apr 17 01:52:01 2026] BLOCKED: 166.108.200.175 | Reason: DDoS Attack
[Fri Apr 17 01:52:09 2026] BLOCKED: 172.253.118.100 | Reason: DDoS Attack
[Fri Apr 17 01:52:13 2026] BLOCKED: 172.253.118.97 | Reason: DDoS Attack
[Fri Apr 17 01:59:46 2026] BLOCKED: 192.168.0.104 | Lý do: DDoS Attack
[Fri Apr 17 02:00:23 2026] BLOCKED: 57.144.152.145 | Lý do: DDoS Attack
[Fri Apr 17 02:02:02 2026] BLOCKED: 57.144.160.1 | Lý do: DDoS Attack
[Fri Apr 17 02:02:05 2026] BLOCKED: 57.144.152.128 | Lý do: DDoS Attack
[Fri Apr 17 02:02:05 2026] BLOCKED: 171.255.198.145 | Lý do: DDoS Attack
[Fri Apr 17 02:02:07 2026] BLOCKED: 203.113.183.81 | Lý do: DDoS Attack
[Fri Apr 17 02:02:07 2026] BLOCKED: 171.229.23.146 | Lý do: DDoS Attack
[Fri Apr 17 02:02:15 2026] BLOCKED: 57.144.152.141 | Lý do: DDoS Attack
[Fri Apr 17 02:03:06 2026] BLOCKED: 62.164.177.3 | Lý do: DDoS Attack
[Fri Apr 17 02:04:42 2026] BLOCKED: 14.225.20.33 | Lý do: DDoS Attack
